Cod Int;Descri��o;Classifica��o;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observa��es;
58847;CR DENT COLGATE TRIP. ACAO MENT 180G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;4;4;0;R$ 8,15; R$ -   ;Ok;
70565;CR DENT DENTALCLEAN FLUOR REGENERA 50G;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > CREME DENTAL INFANTI;2;2;0;R$ 6,62; R$ -   ;Ok;
61795;CR DENT DENTALCLEAN INF PEPPA S/ FLUOR 100G;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > CREME DENTAL INFANTI;3;3;0;R$ 9,93; R$ -   ;Ok;
70999;CR DENT ELMEX SENSITIVE PROFESSIONAL 75;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;1;1;0;R$ 13,34; R$ -   ;Ok;
67688;CR DENT ELMEX SENSITIVE WHITENING 110;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;1;1;0;R$ 21,41; R$ -   ;Ok;
57136;CR DENT FIX ULTRA COREGA 68G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;2;3;1;R$ 53,46;R$ 53,46;Sobra;
61330;CR DENT ORAL B  3D WHITE FRESH L3P2 3X70G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;3;2;-1;R$ 12,94;-R$ 12,94;Perda;
62264;CR DENT ORAL B 123 MENTA 150G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;4;4;0;R$ 4,93; R$ -   ;Ok;
72778;CR DENT ORAL B 123 MENTA 70G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;45;45;0;R$ 2,56; R$ -   ;Ok;
64119;CR DENT ORAL B 3D WHITE PERFECTION 102G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;2;2;0;R$ 11,84; R$ -   ;Ok;
71635;CR DENT ORAL B 4 EM 1 180G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;3;3;0;R$ 5,46; R$ -   ;Ok;
61846;CR DENT ORAL B 4EM1 MENTA 70G ;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;40;41;1;R$ 2,93;R$ 2,93;Sobra;
63978;CR DENT ORAL B EXTRA FRESH 70 G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;5;5;0;R$ 3,78; R$ -   ;Ok;
61558;CR DENT ORAL-B MICKEY 50G;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > CREME DENTAL INFANTI;1;1;0;R$ 6,73; R$ -   ;Ok;
72655;CR DENT ORAL-B PACK FAMIL ESCUDO ANTIACUCAR 3X70G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > HIGIENE BUCAL;2;2;0;R$ 8,75; R$ -   ;Ok;
64172;CR DENT ORAL-B SPIDERMAN 50G;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > CREME DENTAL INFANTI;1;1;0;R$ 6,73; R$ -   ;Ok;
57526;CR DENT PREVENT ANTIPLACA 90G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;1;1;0;R$ 13,80; R$ -   ;Ok;
61865;CR DENT SENSODYNE  BRANQ EXT FRESH  2X90G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 18,02; R$ -   ;Ok;
57120;CR DENT SENSODYNE BRANQ EXTR FRESH 90G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;2;2;0;R$ 11,74; R$ -   ;Ok;
56954;CR DENT SENSODYNE ORIGINAL 50G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;3;3;0;R$ 7,52; R$ -   ;Ok;
